date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN
05-03-2020,20200305,0,0,0,1,0,0,0,0,0,0
07-03-2020,20200307,0,0,1,1,0,0,0,0,0,0
08-03-2020,20200308,0,0,1,2,0,0,0,0,0,0
09-03-2020,20200309,0,0,1,6,0,0,0,0,0,0
11-03-2020,20200311,0,0,5,7,0,0,0,0,1,0
12-03-2020,20200312,0,0,6,8,0,1,0,0,1,0
13-03-2020,20200313,0,0,10,10,0,1,0,0,3,0
14-03-2020,20200314,0,0,17,11,0,1,0,0,9,0
15-03-2020,20200315,0,0,24,12,0,1,0,0,14,0
16-03-2020,20200316,0,0,31,12,1,2,0,0,16,0
17-03-2020,20200317,0,0,45,16,1,2,0,0,21,0
18-03-2020,20200318,0,0,61,19,1,4,0,0,31,0
19-03-2020,20200319,0,0,76,22,1,5,0,0,46,0
20-03-2020,20200320,0,7,109,23,1,5,0,0,57,0
21-03-2020,20200321,1,7,125,26,1,5,0,0,75,0
22-03-2020,20200322,2,9,132,35,2,5,0,0,89,0
23-03-2020,20200323,2,13,207,60,4,9,2,4,100,1
24-03-2020,20200324,2,18,302,80,4,9,2,5,113,19
25-03-2020,20200325,2,30,319,91,4,8,2,5,183,65
26-03-2020,20200326,5,49,409,134,6,9,2,5,229,79
27-03-2020,20200327,5,49,409,134,6,9,2,5,229,322
28-03-2020,20200328,10,68,533,156,11,10,5,6,271,117
29-03-2020,20200329,12,72,584,167,12,11,6,6,310,100
30-03-2020,20200330,12,72,618,171,11,11,3,8,324,96
31-03-2020,20200331,12,74,633,179,14,12,6,8,325,90
01-04-2020,20200401,15,76,645,186,14,12,7,9,326,90
02-04-2020,20200402,17,84,663,206,16,13,7,9,353,94
03-04-2020,20200403,21,84,672,215,16,13,7,9,374,94
04-04-2020,20200404,25,85,693,232,18,18,7,11,433,63
05-04-2020,20200405,31,87,704,246,19,18,8,11,454,77
06-04-2020,20200406,32,89,713,257,19,18,8,11,462,77
07-04-2020,20200407,32,89,713,257,19,18,8,11,462,140
08-04-2020,20200408,45,88,782,354,21,21,13,15,495,11
09-04-2020,20200409,61,93,795,387,22,20,15,15,515,11
10-04-2020,20200410,68,94,801,412,24,20,15,18,541,10
11-04-2020,20200411,69,94,813,418,23,20,16,19,546,10
12-04-2020,20200412,88,96,865,443,23,21,16,19,587,15
13-04-2020,20200413,104,96,890,465,23,22,16,22,617,17
14-04-2020,20200414,174,98,909,489,24,22,16,22,643,18
15-04-2020,20200415,199,97,930,519,25,22,16,23,657,18
16-04-2020,20200416,220,98,969,539,26,22,16,24,675,16
17-04-2020,20200417,246,100,1018,591,26,23,16,24,717,22
18-04-2020,20200418,270,100,1101,604,26,25,16,24,836,32
19-04-2020,20200419,293,100,1148,617,27,23,16,24,868,42
20-04-2020,20200420,310,105,1170,639,27,23,18,25,940,43
21-04-2020,20200421,345,106,1199,671,27,24,16,24,1010,43
22-04-2020,20200422,377,106,1224,758,27,23,16,24,1079,1
23-04-2020,20200423,417,106,1252,807,27,23,16,25,1279,1
24-04-2020,20200424,480,111,1281,841,29,24,16,25,1413,0
25-04-2020,20200425,488,111,1304,841,30,23,16,28,1514,0
26-04-2020,20200426,535,110,1331,863,31,23,17,28,1608,0
27-04-2020,20200427,588,111,1353,902,31,26,17,31,1737,0
28-04-2020,20200428,616,113,1377,919,31,26,17,29,1870,0
29-04-2020,20200429,630,113,1408,956,31,31,17,29,2135,0
30-04-2020,20200430,647,116,1446,980,32,36,17,31,2342,0
01-05-2020,20200501,691,118,1507,1006,34,35,18,35,2507,0
02-05-2020,20200502,732,121,1598,1051,36,40,23,35,2700,0
03-05-2020,20200503,774,122,1624,1076,37,46,24,36,3044,0
04-05-2020,20200504,814,125,1651,1106,39,53,25,35,3362,0
05-05-2020,20200505,838,128,1697,1142,40,57,26,35,3609,0
06-05-2020,20200506,849,130,1720,1149,40,57,26,37,3760,0
07-05-2020,20200507,929,134,1804,1204,41,59,27,40,3994,0
08-05-2020,20200508,989,133,1851,1253,43,60,27,42,4497,0
09-05-2020,20200509,1078,134,1910,1308,51,61,28,41,4809,0
10-05-2020,20200510,1218,135,1952,1353,54,61,29,45,5168,0
11-05-2020,20200511,1356,135,1971,1372,54,63,30,50,5621,0
12-05-2020,20200512,1504,135,2014,1394,54,63,30,51,6105,0
13-05-2020,20200513,1534,138,2074,1413,54,66,30,52,6713,0
14-05-2020,20200514,1569,145,2135,1444,55,67,31,58,7235,0
